                Time |                  CPU |               Memory |   Children |      Files |    Sockets |      Pipes
1550761468.493398327 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493428176 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493452942 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493477700 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493502373 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493526614 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493544147 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493561794 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493579105 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
1550761468.493596485 |          0.000450057 |            104620032 |          0 |          5 |          0 |          0
